Training Size,Average Accuracy,Fake Accuracy,Real Accuracy,,Training Size,Avg Total,Avg Fake Accuracy,Avg Real Accuracy
1250,0.9,0.94,0.86,,,,,
1250,0.91,0.93,0.9,,,,,
1250,0.89,0.92,0.85,,,,,
1250,0.88,0.89,0.86,,,,,
1250,0.91,0.94,0.87,,,,,
1250,0.87,0.89,0.85,,,,,
1250,0.87,0.93,0.82,,,,,
1250,0.9,0.91,0.88,,,,,
1250,0.9,0.89,0.91,,,,,
1250,0.89,0.94,0.84,,,,,
1250,0.85,0.87,0.83,,,,,
1250,0.89,0.89,0.88,,,,,
1250,0.88,0.92,0.84,,,,,
1250,0.89,0.9,0.88,,,,,
1250,0.91,0.93,0.9,,,,,
1250,0.84,0.87,0.82,,,,,
1250,0.89,0.89,0.89,,,,,
1250,0.88,0.9,0.86,,,,,
1250,0.89,0.9,0.87,,,,,
1250,0.9,0.94,0.86,,,,,
1250,0.89,0.92,0.85,,,,,
1250,0.89,0.93,0.84,,,,,
1250,0.88,0.91,0.86,,,,,
